20,0.007991
40,0.144671
60,0.809277
80,2.52923
100,6.24651
120,14.3641
140,28.0173
160,50.2896
180,95.9311
200,158.966



20,0.009203
20,0.007789
20,0.007603
20,0.009726
40,0.147841
40,0.167727
40,0.163349
40,0.168315
60,0.71965
60,0.66422
60,0.711111
60,0.731227
80,2.11145
80,2.00803
80,2.16643
80,2.12557
100,5.34201
100,5.28845
100,5.25639
100,5.60495
120,10.8078
120,11.4948
120,11.5706
120,11.1708
140,20.6378
140,21.6846
140,22.9163
140,22.6617
160,42.2598
160,41.9998
160,43.0952
160,41.2678
180,67.8152
180,70.9789
180,75.9931
180,59.7946
200,117.624
200,103.21
200,101.934
200,98.9392



20,0.008407
20,0.004085
20,0.006421
20,0.006983
20,0.006056
20,0.006929
40,0.107179
40,0.108152
40,0.122839
40,0.129442
40,0.12341
40,0.103651
60,0.491517
60,0.461819
60,0.495218
60,0.582778
60,0.51768
60,-1
80,1.63191
80,1.53411
80,1.54571
80,1.66957
80,1.58526
80,1.58401
100,4.17943
100,4.15205
100,4.04573
100,4.21488
100,3.64709
100,4.09231
120,7.19459
120,7.80257
120,-1
120,8.12772
120,8.12798
120,8.76174
140,15.4634
140,16.0182
140,15.4484
140,14.7597
140,14.1788
140,13.6989
160,26.6653
160,27.7555
160,26.0144
160,28.9432
160,26.9631
160,29.9866
180,47.108
180,44.4306
180,42.1801
180,46.7073
180,43.4175
180,46.2077
200,63.7498
200,-1
200,-1
200,74.7747
200,73.8474
200,75.4675



20,0.006112
20,0.00916
20,0.005703
20,0.00625
20,0.004446
20,0.005365
20,0.005763
20,0.005199
20,0.006358
40,0.086897
40,0.083493
40,-1
40,0.06266
40,0.078434
40,0.077614
40,-1
40,0.076993
40,0.058024
60,0.41517
60,0.299893
60,0.283753
60,-1
60,0.46592
60,0.375112
60,0.341205
60,0.413619
60,0.257212
80,1.20781
80,1.22746
80,1.40425
80,1.1539
80,1.45326
80,1.08887
80,1.35652
80,1.19679
80,1.46921
100,2.6014
100,2.84313
100,3.07328
100,3.02816
100,3.02229
100,2.76707
100,2.08347
100,2.75279
100,2.98848
120,5.26604
120,6.55781
120,6.7254
120,-1
120,6.44606
120,-1
120,5.42055
120,5.45308
120,6.33329
140,12.9209
140,12.1041
140,10.8883
140,10.2324
140,11.4815
140,-1
140,11.9963
140,11.6135
140,12.2224
160,17.9523
160,17.8805
160,21.6411
160,17.2817
160,22.0969
160,19.0211
160,-1
160,22.7052
160,19.1553
180,36.2321
180,32.6999
180,38.3549
180,-1
180,34.2402
180,34.9775
180,33.1218
180,26.4354
180,29.6626
200,46.9598
200,47.5377
200,45.4939
200,49.0597
200,86.5767
200,53.6166
200,62.5039
200,45.4876
200,53.747



20,0.005072
20,-1
20,0.004434
20,0.001541
20,0.003554
20,0.004264
20,0.004043
20,-1
20,0.002723
40,0.056287
40,0.073607
40,0.066222
40,0.048657
40,0.054274
40,0.064857
40,0.070095
40,0.043113
40,0.057411
60,0.205745
60,0.228955
60,-1
60,0.250762
60,0.247211
60,0.327225
60,0.277973
60,0.198919
60,0.286366
80,0.665293
80,0.898411
80,0.662408
80,0.813365
80,0.843913
80,0.667454
80,0.653463
80,0.74168
